rank,Youtuber,subscribers,video views,video count,category,started
1,T-Series,"222,000,000","198,459,090,822","17,317",Music,2006
2,YouTube Movies,"154,000,000",0,0,Film & Animation,2015
3,Cocomelon - Nursery Rhymes,"140,000,000","135,481,339,848",786,Education,2006
4,SET India,"139,000,000","125,764,252,686","91,271",Shows,2006
5,Music,"116,000,000",0,0,,2013
6,PewDiePie,"111,000,000","28,469,458,228","4,497",Gaming,2010
7,MrBeast,"102,000,000","16,832,456,681",726,Entertainment,2012
8,✿ Kids Diana Show,"99,700,000","79,602,288,245","1,009",People & Blogs,2015
9,Like Nastya,"99,200,000","81,963,845,811",702,People & Blogs,2016
10,Gaming,"92,700,000",0,0,,2013
11,WWE,"90,200,000","70,544,743,313","63,077",Sports,2007
12,Zee Music Company,"86,700,000","49,067,711,243","6,603",Music,2014
13,Vlad and Niki,"85,100,000","66,498,762,660",472,Entertainment,2018
14,5-Minute Crafts,"77,100,000","23,881,457,195","5,581",Howto & Style,2016
15,BLACKPINK,"76,200,000","24,707,415,704",397,People & Blogs,2016
16,Sports,"75,100,000",0,0,,2013
17,Goldmines,"74,100,000","18,533,088,438","3,968",Film & Animation,2012
18,Sony SAB,"70,600,000","82,473,581,441","56,295",Shows,2007
19,BANGTANTV,"70,000,000","17,471,090,750","1,787",Music,2012
20,Justin Bieber,"69,700,000","28,567,240,999",247,Music,2007
21,HYBE LABELS,"67,800,000","24,013,849,120",971,Music,2008
22,Canal KondZilla,"65,900,000","36,576,704,790","2,313",Music,2012
23,Zee TV,"63,000,000","17,111,576,122","60,802",Entertainment,2005
24,Shemaroo Filmi Gaane,"61,300,000","28,579,945,247","7,884",Music,2010
25,Pinkfong Baby Shark - Kids' Songs & Stories,"59,400,000","32,107,290,522","2,374",Education,2011
26,Dude Perfect,"58,100,000","14,742,860,905",297,Sports,2009
27,ChuChu TV Nursery Rhymes & Kids Songs,"57,700,000","39,266,652,127",506,Education,2013
28,Movieclips,"57,600,000","58,839,819,120","39,202",Film & Animation,2006
29,Marshmello,"55,700,000","13,445,424,556",401,Entertainment,2015
30,Colors TV,"55,100,000","52,611,504,230","87,427",Shows,2008
31,Wave Music,"53,400,000","37,230,876,862","18,622",Music,2014
32,EminemMusic,"53,000,000","23,717,869,724",140,Music,2007
33,Aaj Tak,"52,900,000","20,204,939,173","196,497",News & Politics,2009
34,Tips Official,"52,800,000","27,883,080,973","3,612",Music,2007
35,T-Series Bhakti Sagar,"52,500,000","24,278,576,197","23,870",Music,2011
36,Sony Music India,"52,400,000","24,856,641,898","3,180",Music,2009
37,Ed Sheeran,"52,200,000","27,881,781,761",253,Music,2006
38,El Reino Infantil,"51,700,000","49,895,247,456","1,309",Music,2011
39,Ariana Grande,"51,600,000","22,158,094,076",146,Music,2007
40,LooLoo Kids - Nursery Rhymes and Children's Songs,"49,800,000","29,013,984,394",553,Music,2014
41,YRF,"47,600,000","29,366,788,406","3,289",Film & Animation,2006
42,Taylor Swift,"47,100,000","25,563,795,998",189,Music,2006
43,Billie Eilish,"46,200,000","11,999,349,578",48,Music,2013
44,JuegaGerman,"46,100,000","13,698,034,536","1,959",Gaming,2013
45,BillionSurpriseToys - English Kids Songs & Cartoon,"45,700,000","8,590,657,189",648,Education,2013
46,Infobells - Hindi,"45,600,000","25,635,591,765",476,Education,2014
47,Badabun,"45,600,000","18,567,925,780","13,814",Entertainment,2014
48,Fernanfloo,"45,100,000","9,966,728,650",541,Gaming,2011
49,Felipe Neto,"44,300,000","15,475,571,879","3,512",Entertainment,2006
50,BRIGHT SIDE,"43,900,000","10,058,536,263","4,540",Howto & Style,2017
51,whinderssonnunes,"43,900,000","4,120,078,906",521,Comedy,2013
52,Você Sabia?,"43,300,000","7,284,075,395","1,315",Entertainment,2013
53,HolaSoyGerman.,"43,300,000","4,735,959,546",136,Entertainment,2011
54,Katy Perry,"43,200,000","23,966,278,157",118,Music,2008
55,SonyMusicIndiaVEVO,"42,700,000","23,991,411,417","3,309",Music,2009
56,Bad Bunny,"42,500,000","23,748,805,401",123,Music,2014
57,Alan Walker,"42,200,000","11,731,228,995",318,Music,2012
58,Like Nastya Show,"41,500,000","18,745,015,002",599,Entertainment,2017
59,Get Movies,"41,300,000","28,559,341,412","3,963",Entertainment,2006
60,A4,"41,200,000","16,717,234,472",645,Gaming,2014
61,Speed Records,"40,800,000","24,558,172,214","10,327",Music,2012
62,ABS-CBN Entertainment,"40,600,000","47,544,242,811","179,522",People & Blogs,2008
63,elrubiusOMG,"40,400,000","7,483,116,325",705,Gaming,2011
64,Shemaroo,"39,700,000","20,489,429,972","9,707",Entertainment,2007
65,Rihanna,"39,600,000","20,092,128,845",79,Entertainment,2005
66,Little Baby Bum - Nursery Rhymes & Kids Songs,"39,500,000","37,136,069,429","1,989",Education,2011
67,Luisito Comunica,"39,200,000","7,691,260,396","1,119",Comedy,2012
68,Voot Kids,"38,800,000","17,685,426,640","3,282",Entertainment,2016
69,Маша и Медведь,"38,700,000","32,833,907,997","1,198",Film & Animation,2011
70,TheEllenShow,"38,300,000","22,335,550,787","14,404",Entertainment,2006
71,LUCCAS NETO - LUCCAS TOON,"37,800,000","20,454,693,770","1,875",People & Blogs,2014
72,Ishtar Music,"37,800,000","14,999,240,876","4,535",Trailers,2005
73,GR6 EXPLODE,"37,600,000","23,912,270,526","4,180",Music,2014
74,XXXTENTACION,"37,600,000","9,725,253,939",126,Music,2015
75,One Direction,"37,400,000","12,698,961,117",157,Music,2010
76,Shakira,"37,200,000","23,715,669,906",287,People & Blogs,2005
77,Kimberly Loaiza,"37,200,000","4,254,148,920",206,People & Blogs,2016
78,WorkpointOfficial,"37,000,000","33,773,658,170","62,039",Entertainment,2012
79,Daddy Yankee,"36,800,000","20,479,831,396",423,Music,2011
80,Toys and Colors,"36,500,000","40,932,580,174",821,Entertainment,2016
81,CarryMinati,"36,300,000","2,948,237,121",178,Comedy,2014
82,News,"36,200,000",0,0,,2013
83,Maroon 5,"36,000,000","20,838,666,788",163,Music,2006
84,shfa,"35,900,000","19,083,355,034",847,People & Blogs,2015
85,TEDx Talks,"35,900,000","6,660,397,688","185,006",Nonprofits & Activism,2009
86,shfa2 - شفا,"35,800,000","20,816,532,667","1,351",People & Blogs,2017
87,Jkk Entertainment,"35,700,000","15,133,442,317",194,Comedy,2017
88,Super Simple Songs - Kids Songs,"35,300,000","37,440,873,935",600,Education,2006
89,Bruno Mars,"35,300,000","17,395,825,825",97,Music,2006
90,Ozuna,"35,200,000","21,048,440,606",137,Music,2016
91,Masha and The Bear,"35,100,000","19,426,654,260",935,Shows,2014
92,one31,"34,400,000","26,969,165,355","128,901",Entertainment,2013
93,Goldmines Gaane Sune Ansune,"34,300,000","14,212,434,275","3,171",Music,2015
94,Like Nastya ESP,"33,600,000","15,934,957,738",630,Entertainment,2017
95,J Balvin,"33,600,000","21,489,532,517",134,Music,2011
96,Mikecrack,"33,500,000","13,775,632,479","1,727",Gaming,2015
97,VEGETTA777,"33,400,000","14,948,682,643","7,130",Gaming,2008
98,Ultra Bollywood,"33,400,000","15,508,274,562","9,078",Trailers,2009
99,Markiplier,"33,300,000","18,701,808,550","5,200",Gaming,2012
100,YouTube,"33,300,000","2,725,286,912",540,News & Politics,1970
101,ABP NEWS,"33,200,000","10,421,462,788","224,455",People & Blogs,2012
102,Total Gaming,"33,200,000","5,935,440,954","1,894",Gaming,2018
103,Maria Clara & JP,"33,100,000","20,224,535,670",627,People & Blogs,2015
104,Desi Music Factory,"33,000,000","9,481,987,642",125,Music,2014
105,Ryan's World,"32,900,000","51,721,734,476","2,198",Entertainment,2015
106,Geet MP3,"32,800,000","11,575,367,431",563,Music,2016
107,Sony PAL,"32,700,000","23,519,452,138","19,383",Shows,2014
108,NoCopyrightSounds,"32,700,000","10,436,881,173","1,116",Music,2011
109,SSSniperWolf,"32,500,000","20,583,922,757","3,095",Gaming,2013
110,T-Series Apna Punjab,"32,300,000","18,933,492,606","6,524",Music,2011
111,ARY Digital HD,"32,200,000","25,304,311,207","71,075",Entertainment,2016
112,KHANDESHI MOVIES,"32,100,000","10,676,727,914",191,Comedy,2013
113,IndiaTV,"31,900,000","13,417,041,251","237,971",News & Politics,2006
114,HAR PAL GEO,"31,900,000","26,003,463,646","61,818",Entertainment,2008
115,JustinBieberVEVO,"31,800,000","25,304,909,929",205,Music,2009
116,Ch3Thailand,"31,600,000","20,335,720,484","76,039",Entertainment,2014
117,La Granja de Zenón,"31,500,000","22,808,879,757",558,Music,2013
118,GENIAL,"31,400,000","6,362,416,164","5,453",Howto & Style,2017
119,Eros Now Music,"31,000,000","16,582,648,732","9,807",Entertainment,2007
120,Luis Fonsi,"30,900,000","14,480,846,921",121,Entertainment,2014
121,Selena Gomez,"30,900,000","11,583,101,067",182,Film & Animation,2008
122,Galinha Pintadinha,"30,800,000","22,858,782,418",62,Film & Animation,2006
123,SMTOWN,"30,800,000","25,203,004,950","3,951",Music,2006
124,Mr Bean,"30,700,000","9,936,630,200","2,661",Shows,2006
125,Bollywood Classics,"30,600,000","19,244,430,138","2,008",Music,2012
126,CVS 3D Rhymes & Kids Songs,"30,500,000","18,636,699,832",338,Education,2008
127,Ricis Official,"30,500,000","5,134,450,983","2,003",People & Blogs,2016
128,Trap Nation,"30,400,000","13,348,694,779","2,472",Music,2012
129,Rajshri,"30,300,000","13,287,506,122","3,739",Music,2006
130,DisneyMusicVEVO,"30,100,000","24,693,346,235","1,771",Music,2010
131,Dream,"30,000,000","2,673,017,855",110,Gaming,2014
132,The Tonight Show Starring Jimmy Fallon,"29,900,000","16,006,240,303","7,897",Comedy,2006
133,AH,"29,900,000","4,082,464,979","1,809",Entertainment,2014
134,Saregama Music,"29,700,000","12,147,894,890","5,718",Entertainment,2013
135,Spinnin' Records,"29,600,000","20,075,386,002","10,826",Music,2007
136,rezendeevil,"29,600,000","12,599,347,383","11,571",Gaming,2012
137,Shawn Mendes,"29,500,000","11,742,431,673",132,Music,2011
138,Popular on YouTube,"29,400,000",0,0,,2013
139,Boram Tube Vlog [보람튜브 브이로그],"29,400,000","13,109,187,449",223,Entertainment,2012
140,BabyBus - Kids Songs and Cartoons,"29,200,000","23,790,606,514","1,825",Education,2016
141,AuronPlay,"29,200,000","3,935,938,048",404,Comedy,2006
142,The Weeknd,"29,100,000","19,280,816,380",123,Music,2011
143,Maluma,"28,700,000","19,638,529,002",20,Music,2018
144,Adele,"28,700,000","12,650,300,730",14,Music,2008
145,jacksepticeye,"28,600,000","15,485,608,801","4,988",Gaming,2007
146,ImagineDragons,"28,600,000","14,307,239,074",67,Music,2009
147,Worldwide Records Bhojpuri,"28,600,000","14,501,468,946","5,927",Music,2012
148,Ultra Music,"28,600,000","16,201,384,834","4,665",Music,2006
149,Jingle Toons,"28,600,000","9,728,073,444",228,Film & Animation,2013
150,ashish chanchlani vines,"28,600,000","4,054,589,048",147,Comedy,2009
151,PowerKids TV,"28,400,000","14,322,875,759","2,509",Film & Animation,2014
152,MrBeast Gaming,"28,400,000","4,943,059,589",132,Gaming,2020
153,Peppa Pig - Official Channel,"28,200,000","21,008,328,965","2,020",Film & Animation,2013
154,قناة طيور الجنة | toyoraljanahtv,"28,100,000","25,743,323,512","3,131",Entertainment,2008
155,DONA 도나,"28,100,000","18,421,172,559",160,Entertainment,2018
156,Techno Gamerz,"28,100,000","7,193,172,591",839,Gaming,2017
157,Wow Kidz,"28,000,000","14,967,441,549","3,718",Film & Animation,2015
158,Talking Tom,"28,000,000","13,908,482,957",447,Comedy,2010
159,The Late Late Show with James Corden,"27,900,000","9,996,299,350","5,422",Entertainment,2006
160,Little Angel: Nursery Rhymes & Kids Songs,"27,700,000","20,217,178,677","1,146",Education,2015
161,GMANetwork,"27,600,000","26,290,731,375","114,067",Entertainment,2006
162,KAROL G,"27,400,000","14,040,459,862",121,Music,2013
163,TheDonato,"27,200,000","5,094,142,687","2,491",Entertainment,2015
164,Vlad và Nikita,"27,100,000","17,117,316,552",405,,2018
165,Round2hell,"27,100,000","2,862,422,681",67,Comedy,2016
166,infobells - Tamil,"26,900,000","16,492,704,526",460,Education,2014
167,Drake,"26,800,000","12,947,966,180",53,Music,2009
168,MR. INDIAN HACKER,"26,800,000","4,592,841,527",812,Science & Technology,2012
169,Zee News,"26,700,000","12,175,851,183","144,314",News & Politics,2007
170,ToypuddingTV,"26,600,000","15,570,902,183","2,579",Entertainment,2014
171,Genevieve's Playhouse - Learning Videos for Kids,"26,500,000","18,579,474,197",578,Education,2016
172,Bounce Patrol - Kids Songs,"26,400,000","18,891,028,184",205,Music,2013
173,Wiz Khalifa,"26,400,000","12,528,940,373",598,Music,2008
174,infobells - Telugu,"26,300,000","13,426,911,345",421,Education,2014
175,enchufetv,"26,300,000","10,022,194,205",994,Comedy,2011
176,AboFlah,"26,300,000","3,589,276,436",553,Gaming,2016
177,DanTDM,"26,200,000","18,809,615,646","3,603",Gaming,2012
178,Aditya Music,"26,100,000","22,661,822,099","19,992",Music,2008
179,Lucas and Marcus,"26,100,000","7,942,766,503",968,Entertainment,2011
180,WORLDSTARHIPHOP,"25,900,000","19,426,357,466","6,259",Music,2008
181,व्लाद और निकिता,"25,900,000","15,750,623,413",427,,2018
182,Michael Jackson,"25,800,000","12,588,288,710",7,Music,2005
183,TaylorSwiftVEVO,"25,800,000","23,276,597,783",239,Music,2009
184,toycantando,"25,800,000","13,948,216,340",496,Music,2009
185,VanossGaming,"25,700,000","14,907,579,962","1,581",Gaming,2011
186,LosPolinesios,"25,600,000","7,086,413,849",725,People & Blogs,2012
187,1MILLION Dance Studio,"25,500,000","7,409,442,051","4,251",Entertainment,2015
188,BB Ki Vines,"25,500,000","4,371,751,617",185,Entertainment,2015
189,Renato Garcia,"25,400,000","6,901,320,769","3,648",Entertainment,2011
190,JYP Entertainment,"25,200,000","17,152,981,455","1,502",Music,2008
191,RihannaVEVO,"25,200,000","18,089,677,017",106,Music,2009
192,Nick Jr.,"25,100,000","20,691,684,541","4,712",Film & Animation,2012
193,Smosh,"25,000,000","10,184,035,967","1,366",Comedy,2005
194,EminemVEVO,"24,900,000","18,786,748,261",98,Music,2009
195,Marília Mendonça,"24,900,000","16,477,333,283",114,Music,2013
196,Beyoncé,"24,900,000","15,717,379,166",234,Music,2005
197,Yuya,"24,900,000","2,583,410,213",672,Howto & Style,2009
198,KatyPerryVEVO,"24,800,000","22,679,485,513",171,Music,2009
199,Jess No Limit,"24,700,000","3,060,187,306","1,914",Entertainment,2017
200,WatchMojo.com,"24,600,000","15,650,528,115","22,492",Music,2007
201,Las Ratitas,"24,600,000","9,217,427,023",217,People & Blogs,2015
202,Nicki Minaj,"24,500,000","9,386,490,086",31,Music,2013
203,Super JoJo - Nursery Rhymes & Kids Songs,"24,400,000","831,718,833",61,,2019
204,Goldmines Dishoom,"24,400,000","7,143,695,444","2,844",Film & Animation,2016
205,David Guetta,"24,300,000","15,959,928,823",633,Music,2009
206,Masha y el Oso,"24,300,000","11,006,209,206",840,Film & Animation,2016
207,Aditya Movies,"24,300,000","7,908,171,009","4,274",Movies,2012
208,Netflix,"24,300,000","5,678,834,326","5,650",Entertainment,2012
209,ZHC,"24,300,000","2,224,916,696",298,Film & Animation,2013
210,Post Malone,"24,200,000","12,492,313,399",51,Music,2011
211,1theK (원더케이),"24,200,000","22,605,283,252","16,928",Music,2011
212,Amit Bhadana,"24,100,000","2,242,631,303",93,Entertainment,2012
213,Rans Entertainment,"24,000,000","5,688,277,632","3,060",People & Blogs,2015
214,Chloe Ting,"24,000,000","2,735,828,023",367,Howto & Style,2011
215,Sandeep Maheshwari,"24,000,000","1,821,164,544",513,People & Blogs,2012
216,Raffy Tulfo in Action,"23,900,000","12,797,189,774","8,755",News & Politics,2016
217,KSI,"23,900,000","5,898,102,699","1,242",Entertainment,2009
218,Collins Key,"23,900,000","6,368,398,946",251,Entertainment,2011
219,James Charles,"23,900,000","3,687,600,020",406,Entertainment,2015
220,Ninja,"23,900,000","2,447,087,199","1,418",Gaming,2011
221,Coldplay,"23,500,000","15,078,170,011",347,Music,2010
222,Logan Paul,"23,500,000","5,889,189,870",712,Entertainment,2015
223,DJ Snake,"23,400,000","7,645,734,689",209,Music,2008
224,Chris Brown,"23,400,000","13,630,944,140",21,Music,2006
225,Happy Lives,"23,400,000","10,089,784,164",596,Science & Technology,2016
226,TRANS7 OFFICIAL,"23,300,000","12,454,676,964","78,951",Entertainment,2014
227,Troom Troom,"23,200,000","9,797,581,328","1,992",Howto & Style,2015
228,ABPLIVE,"23,200,000","6,805,551,423","146,479",People & Blogs,2017
229,Mister Max,"23,100,000","14,762,469,807","1,046",People & Blogs,2014
230,NickyJamTV,"23,100,000","15,050,718,616",328,Music,2012
231,Shemaroo Movies,"23,000,000","5,590,554,837","2,155",Entertainment,2011
232,Sesame Street,"22,900,000","21,078,177,585","3,425",Entertainment,2006
233,Enrique Iglesias,"22,900,000","16,539,033,540",405,Music,2007
234,netd müzik,"22,800,000","50,658,927,334","20,482",Music,2014
235,Jelly,"22,800,000","14,239,994,409","5,667",Gaming,2014
236,Erlania e Valentina Pontes,"22,700,000","7,556,615,404","1,117",Film & Animation,2014
237,DrossRotzank,"22,500,000","5,743,037,460","1,508",Entertainment,2006
238,Anuel AA,"22,400,000","11,627,613,226",92,Music,2016
239,Goldmines Bollywood,"22,400,000","7,122,122,133","2,409",Film & Animation,2015
240,Miss Katy,"22,300,000","13,424,354,473",990,People & Blogs,2014
241,The Chainsmokers,"22,300,000","13,337,815,978",237,Music,2012
242,Crazy XYZ,"22,300,000","5,869,132,761","1,085",Entertainment,2017
243,Frost Diamond,"22,300,000","5,357,578,673","2,191",Gaming,2014
244,Mark Rober,"22,300,000","2,935,811,566",107,Science & Technology,2011
245,The Lallantop,"22,200,000","8,155,335,430","39,370",News & Politics,2015
246,Technical Guruji,"22,200,000","3,065,204,553","4,609",Science & Technology,2015
247,GMM GRAMMY OFFICIAL,"22,100,000","24,128,528,075","13,755",Music,2010
248,HUM TV,"22,100,000","16,656,148,835","59,428",Entertainment,2011
249,Like Nastya AE,"22,100,000","11,179,266,145",576,Entertainment,2018
250,WB Kids,"22,100,000","9,340,794,746","1,722",People & Blogs,2015
251,Venus Movies,"22,100,000","6,293,790,011","2,456",Entertainment,2010
252,OneDirectionVEVO,"22,000,000","11,550,410,746",266,Music,2010
253,Smile Family,"22,000,000","8,261,468,075",413,People & Blogs,2018
254,mmoshaya,"21,900,000","16,356,422,375","1,139",People & Blogs,2010
255,Lady Gaga,"21,900,000","13,835,267,771",172,People & Blogs,2008
256,White Hill Music,"21,700,000","9,719,487,276","5,094",Entertainment,2014
257,Paulo Londra,"21,700,000","7,061,442,001",52,Music,2016
258,America's Got Talent,"21,700,000","4,016,933,296","2,751",Entertainment,2006
259,TED,"21,700,000","2,370,380,465","4,005",People & Blogs,2006
260,Sia,"21,600,000","12,150,226,022",144,Music,2007
261,Diana and Roma ARA,"21,600,000","9,790,033,957",503,,2019
262,Wave Music Bhojpuri,"21,500,000","12,148,385,591","21,294",Music,2014
263,Peppa Pig Español Latino - Canal Oficial,"21,500,000","6,961,098,158",949,Film & Animation,2014
264,FaZe Rug,"21,500,000","6,009,951,177","1,997",Gaming,2012
265,Goldmines Movies,"21,400,000","4,575,205,400","4,025",Film & Animation,2013
266,Pen Movies,"21,200,000","5,588,648,749","1,569",Film & Animation,2014
267,nigahiga,"21,200,000","4,357,416,327",403,Entertainment,2006
268,BabyBus - Canciones Infantiles & Cuentos,"21,100,000","11,922,457,689",973,Education,2018
269,Enaldinho,"21,100,000","7,382,859,153","2,908",Comedy,2012
270,SSundee,"21,000,000","12,022,708,572","3,067",Gaming,2009
271,Tasty,"21,000,000","5,508,445,771","4,310",Howto & Style,2016
272,FGTeeV,"20,900,000","22,567,064,225","1,594",Gaming,2013
273,Dua Lipa,"20,900,000","9,928,011,592",164,Music,2011
274,5-Minute Crafts DIY,"20,900,000","4,934,552,904","3,961",Howto & Style,2018
275,Juan De Dios Pantoja,"20,900,000","1,601,142,353",175,Entertainment,2014
276,Indosiar,"20,800,000","10,126,082,404","58,623",Music,2013
277,Like Nastya PRT,"20,800,000","10,441,789,042",529,Entertainment,2019
278,Preston,"20,800,000","6,955,897,177","3,861",Gaming,2012
279,Baim Paula,"20,800,000","4,254,648,656","1,957",People & Blogs,2016
280,Charlie Puth,"20,700,000","8,609,202,215",132,Music,2009
281,Canal Canalha,"20,700,000","1,834,293,432",291,Comedy,2011
282,MrBeast en Español,"20,700,000","2,290,112,686",72,Entertainment,2021
283,Goldmines Cineplex,"20,600,000","1,796,017,693","2,474",Film & Animation,2015
284,Brent Rivera,"20,500,000","4,655,819,045",484,Comedy,2009
285,Kids TV - Nursery Rhymes And Baby Songs,"20,400,000","11,747,446,967","3,367",Shows,2013
286,Disney Latinoamérica,"20,400,000","19,296,050,086","7,811",Entertainment,2007
287,Becky G,"20,400,000","9,552,800,638",73,Music,2011
288,Family GamesTV,"20,400,000","7,061,690,830",277,Entertainment,2016
289,Jake Paul,"20,400,000","7,219,140,294",934,People & Blogs,2013
290,National Geographic,"20,400,000","5,199,519,260","9,854",Science & Technology,2006
291,Tekashi 6ix9ine,"20,400,000","5,325,195,339",25,People & Blogs,2018
292,BuzzFeedVideo,"20,300,000","17,755,714,250","7,347",People & Blogs,2011
293,Brave Wilderness,"20,300,000","4,606,459,332",718,Pets & Animals,2014
294,D Billions,"20,200,000","21,872,499,520",429,,2019
295,Avicii,"20,200,000","9,499,913,181",149,Music,2009
296,REACT,"20,100,000","12,940,702,514","3,885",Entertainment,2007
297,LazarBeam,"20,100,000","8,389,982,773","1,258",Gaming,2015
298,StarPlus,"20,100,000","12,116,551,500","12,702",Entertainment,2006
299,AuthenticGames,"20,100,000","8,852,635,760","4,638",Gaming,2011
300,Vevo,"20,000,000","546,905,035","1,519",Music,2006
301,Skrillex,"20,000,000","6,307,539,008",180,Music,2010
302,Rotana,"20,000,000","16,480,938,259","8,109",Music,2012
303,Ultra Movie Parlour,"20,000,000","4,930,920,530","1,302",Movies,2011
304,SlivkiShow,"20,000,000","4,345,234,891",426,Entertainment,2012
305,HaerteTest,"20,000,000","3,027,361,293","1,160",Science & Technology,2011
306,5-Minute Crafts PLAY,"19,900,000","5,616,881,420","4,440",Howto & Style,2017
307,Alan Becker,"19,900,000","4,321,286,202",116,Film & Animation,2006
308,JennaMarbles,"19,900,000","1,761,774,908",250,Comedy,2010
309,Mnet K-POP,"19,800,000","15,394,134,862","29,028",Entertainment,2006
310,Lyrical Lemonade,"19,800,000","9,563,010,656",408,Entertainment,2013
311,Pencilmation,"19,800,000","10,849,211,839","1,153",Film & Animation,2007
312,Tlnovelas,"19,700,000","12,776,498,114","29,574",News & Politics,2013
313,Pentatonix,"19,700,000","5,694,327,707",235,Music,2011
314,Totoy kids - Português,"19,700,000","3,826,474,945",174,Film & Animation,2014
315,LankyBox,"19,600,000","25,787,517,689","5,545",Comedy,2016
316,toyorbabytv,"19,600,000","13,978,892,435","1,057",Music,2012
317,Vlad and Niki Arabic,"19,600,000","9,147,535,900",417,,2018
318,shane,"19,600,000","4,269,173,489",566,People & Blogs,2005
319,Marvel Entertainment,"19,500,000","5,098,361,752","7,989",Entertainment,2005
320,Noor Stars,"19,500,000","2,545,886,796",627,Comedy,2014
321,GMA Public Affairs,"19,400,000","11,968,987,179","37,390",Entertainment,2009
322,Romeo Santos,"19,400,000","14,819,598,563",28,Music,2005
323,Got Talent Global,"19,400,000","7,383,775,138","2,454",Entertainment,2013
324,Dr. Vivek Bindra: Motivational Speaker,"19,400,000","1,478,660,028",683,Education,2013
325,Linkin Park,"19,300,000","11,783,975,855",592,Music,2006
326,Gordon Ramsay,"19,300,000","3,631,748,240","1,287",Entertainment,2006
327,Troom Troom Es,"19,200,000","7,139,476,227","2,591",People & Blogs,2016
328,Gusttavo Lima Oficial,"19,200,000","11,815,001,366",335,Music,2010
329,Kinder Spielzeug Kanal,"19,200,000","9,413,508,600",699,Entertainment,2015
330,Infinite,"19,200,000","4,383,533,818","1,517",Entertainment,2014
331,Deddy Corbuzier,"19,200,000","4,075,368,246","1,132",Entertainment,2009
332,Minecraft - Topic,"19,100,000",0,0,,2013
333,Robin Hood Gamer,"19,100,000","9,328,209,625","3,750",Entertainment,2014
